job_title,job_detail_url,job_listed,company_name,company_link,company_location
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-greenstone-farm-credit-services-3819481799?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=y5Yn%2BBw7fMJVhNEj%2FF0AVQ%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card,2 days ago,GreenStone Farm Credit Services,https://www.linkedin.com/company/greenstone-farm-credit-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"East Lansing, MI"
"Analyst, Data Analytics",https://www.linkedin.com/jobs/view/analyst-data-analytics-at-edwards-lifesciences-3825245619?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=h0DO79pa%2BNAydvnelUgcZQ%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card,1 day ago,Edwards Lifesciences,https://www.linkedin.com/company/edwards-lifesciences?trk=public_jobs_jserp-result_job-search-card-subtitle,"Portland, OR"
Data Analytics - Data Analyst,https://www.linkedin.com/jobs/view/data-analytics-data-analyst-at-acs-consultancy-services-inc-3825064980?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=4N2rtonWMP9anoc5gI0p%2FA%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card,1 day ago,"ACS Consultancy Services, Inc",https://www.linkedin.com/company/acs-consultancyservices-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst I,https://www.linkedin.com/jobs/view/data-analyst-i-at-global-technical-talent-an-inc-5000-company-3822120375?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=O8QbOTN4KjISZhbh5tr%2BRA%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card,2 hours ago,"Global Technical Talent, an Inc. 5000 Company",https://www.linkedin.com/company/global-technical-talent?trk=public_jobs_jserp-result_job-search-card-subtitle,"North Chicago, IL"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-turnberry-solutions-3823254390?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=ta%2BKHBgjQolNmCOdQIPsiQ%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card,3 days ago,Turnberry Solutions,https://www.linkedin.com/company/turnberrysolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-soulcycle-inc-3824982297?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=lue7O1ZCWEYclr0DSVHezw%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card,2 days ago,SoulCycle Inc.,https://www.linkedin.com/company/soulcycle?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-dot-foods-3820461930?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=743kfAC08SDAEnCkPUVbrw%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card,2 days ago,Dot Foods,https://www.linkedin.com/company/dotfoods?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mount Sterling, IL"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-acs-consultancy-services-inc-3823363180?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=rFu%2FX1ug2a1fISFFqSNGfQ%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card,2 days ago,"ACS Consultancy Services, Inc",https://www.linkedin.com/company/acs-consultancyservices-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Albany, NY"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-laserfiche-3823896735?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=Mexk%2F%2FLddcDji79P3xtNkg%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card,2 days ago,Laserfiche,https://www.linkedin.com/company/laserfiche?trk=public_jobs_jserp-result_job-search-card-subtitle,"Long Beach, CA"
"Data Analyst, Risk Management",https://www.linkedin.com/jobs/view/data-analyst-risk-management-at-american-integrity-insurance-company-3823042168?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=%2B5QGA6nVsJZO5AcLWIbZMA%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card,3 days ago,American Integrity Insurance Company,https://www.linkedin.com/company/american-integrity-insurance-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL"
Data Visualization/ Analyst,https://www.linkedin.com/jobs/view/data-visualization-analyst-at-innova-solutions-3826466612?refId=eszjEW9mSzysIKmGqBBaiQ%3D%3D&trackingId=x%2Bpa%2FYETfga4A3%2BzuS9wYw%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card,1 hour ago,Innova Solutions,https://www.linkedin.com/company/innova-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Reston, VA"
